"yearID","teamID","lgID","playerID","G_all","GS","G_batting","G_defense","G_p","G_c","G_1b","G_2b","G_3b","G_ss","G_lf","G_cf","G_rf","G_of","G_dh","G_ph","G_pr","mainPos"
2020,"CHN","NL","chafian01",4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CLE","AL","changyu01",10,3,10,8,0,0,0,2,3,4,0,0,0,0,0,2,2,"SS"
2020,"NYA","AL","chapmar01",13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"OAK","AL","chapmma01",37,36,37,37,0,0,0,0,36,1,0,0,0,0,0,0,0,"3B"
2020,"CHN","NL","chatwty01",5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TEX","AL","chaveje01",18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"BOS","AL","chavimi01",42,40,42,41,0,0,24,8,0,0,12,0,0,12,1,1,0,"1B"
2020,"NYN","NL","chiriro01",12,10,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,"C"
2020,"TEX","AL","chiriro01",14,13,14,13,0,13,0,0,0,0,0,0,0,0,1,1,0,"C"
2020,"TBA","AL","chiriyo01",3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIA","NL","chishja01",21,17,21,20,0,0,0,13,0,9,0,0,0,0,0,1,1,"2B"
2020,"TBA","AL","choiji01",42,32,42,38,0,0,38,0,0,0,0,0,0,0,1,10,0,"1B"
2020,"TEX","AL","choosh01",33,30,33,19,0,0,0,0,0,0,16,0,3,19,14,3,0,"LF"
2020,"CLE","AL","cimbead01",14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CHA","AL","cishest01",22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"DET","AL","cisnejo01",29,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CLE","AL","civalaa01",12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"ARI","NL","clarkta01",12,5,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
