year.key,league.key,team.key,franchise.key,team.key.bbref,team.key.lahman45,team.key.retro,name
1901,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Superbas
1901,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1901,AL,CHA,CHW,CHW,CHA,CHA,Chicago White Sox
1901,NL,CHN,CHC,CHC,CHN,CHN,Chicago Orphans
1901,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1901,AL,CLE,CLE,CLE,CLE,CLE,Cleveland Blues
1901,AL,DET,DET,DET,DET,DET,Detroit Tigers
1901,AL,MLA,BAL,MLA,MLA,MLA,Milwaukee Brewers
1901,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1901,AL,PHA,OAK,PHA,PHA,PHA,Philadelphia Athletics
1901,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1901,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1901,NL,SLN,STL,STL,SLN,SLN,St. Louis Cardinals
1901,AL,WS1,MIN,WSH,WS1,WS1,Washington Senators
1902,AL,BLA,NYY,BLA,BLA,BLA,Baltimore Orioles
1902,AL,BOS,BOS,BOS,BOS,BOS,Boston Americans
1902,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Superbas
1902,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1902,AL,CHA,CHW,CHW,CHA,CHA,Chicago White Sox
1902,NL,CHN,CHC,CHC,CHN,CHN,Chicago Orphans
1902,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1902,AL,CLE,CLE,CLE,CLE,CLE,Cleveland Bronchos
1902,AL,DET,DET,DET,DET,DET,Detroit Tigers
1902,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1902,AL,PHA,OAK,PHA,PHA,PHA,Philadelphia Athletics
1902,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1902,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1902,AL,SLA,BAL,SLB,SLA,SLA,St. Louis Browns
1902,NL,SLN,STL,STL,SLN,SLN,St. Louis Cardinals
1902,AL,WS1,MIN,WSH,WS1,WS1,Washington Senators
1903,AL,BOS,BOS,BOS,BOS,BOS,Boston Americans
1903,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Superbas
1903,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1903,AL,CHA,CHW,CHW,CHA,CHA,Chicago White Sox
1903,NL,CHN,CHC,CHC,CHN,CHN,Chicago Cubs
1903,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1903,AL,CLE,CLE,CLE,CLE,CLE,Cleveland Naps
1903,AL,DET,DET,DET,DET,DET,Detroit Tigers
1903,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1903,AL,NYA,NYY,NYY,NYA,NYA,New York Highlanders
1903,AL,PHA,OAK,PHA,PHA,PHA,Philadelphia Athletics
1903,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1903,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1903,AL,SLA,BAL,SLB,SLA,SLA,St. Louis Browns
1903,NL,SLN,STL,STL,SLN,SLN,St. Louis Cardinals
1903,AL,WS1,MIN,WSH,WS1,WS1,Washington Senators
1904,AL,BOS,BOS,BOS,BOS,BOS,Boston Americans
1904,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Superbas
1904,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1904,AL,CHA,CHW,CHW,CHA,CHA,Chicago White Sox
1904,NL,CHN,CHC,CHC,CHN,CHN,Chicago Cubs
1904,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1904,AL,CLE,CLE,CLE,CLE,CLE,Cleveland Naps
1904,AL,DET,DET,DET,DET,DET,Detroit Tigers
1904,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1904,AL,NYA,NYY,NYY,NYA,NYA,New York Highlanders
1904,AL,PHA,OAK,PHA,PHA,PHA,Philadelphia Athletics
1904,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
