year.key,league.key,team.key,franchise.key,team.key.bbref,team.key.lahman45,team.key.retro,name
1881,NL,CL2,CBL,CLV,CL2,CL2,Cleveland Blues
1881,NL,DTN,DTN,DTN,DTN,DTN,Detroit Wolverines
1881,NL,PRO,PRO,PRO,PRO,PRO,Providence Grays
1881,NL,TRN,TRT,TRO,TRN,TRN,Troy Trojans
1881,NL,WOR,WOR,WOR,WOR,WOR,Worcester Ruby Legs
1882,NL,BFN,BUF,BUF,BFN,BFN,Buffalo Bisons
1882,AA,BL2,BLO,BAL,BL2,BL2,Baltimore Orioles
1882,NL,BSN,ATL,BSN,BSN,BSN,Boston Red Caps
1882,NL,CHN,CHC,CHC,CHN,CHN,Chicago White Stockings
1882,NL,CL2,CBL,CLV,CL2,CL2,Cleveland Blues
1882,AA,CN2,CIN,CIN,CN2,CN2,Cincinnati Red Stockings
1882,NL,DTN,DTN,DTN,DTN,DTN,Detroit Wolverines
1882,AA,LS2,LOU,LOU,LS2,LS2,Louisville Eclipse
1882,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1882,NL,PRO,PRO,PRO,PRO,PRO,Providence Grays
1882,AA,PT1,PIT,PIT,PT1,PT1,Pittsburg Alleghenys
1882,AA,SL4,STL,STL,SL4,SL4,St. Louis Brown Stockings
1882,NL,TRN,TRT,TRO,TRN,TRN,Troy Trojans
1882,NL,WOR,WOR,WOR,WOR,WOR,Worcester Ruby Legs
1883,NL,BFN,BUF,BUF,BFN,BFN,Buffalo Bisons
1883,AA,BL2,BLO,BAL,BL2,BL2,Baltimore Orioles
1883,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1883,NL,CHN,CHC,CHC,CHN,CHN,Chicago White Stockings
1883,NL,CL2,CBL,CLV,CL2,CL2,Cleveland Blues
1883,AA,CL5,CBK,COL,CL5,CL5,Columbus Buckeyes
1883,AA,CN2,CIN,CIN,CN2,CN2,Cincinnati Red Stockings
1883,NL,DTN,DTN,DTN,DTN,DTN,Detroit Wolverines
1883,AA,LS2,LOU,LOU,LS2,LS2,Louisville Eclipse
1883,NL,NY1,SFG,NYG,NY1,NY1,New York Gothams
1883,AA,NY4,NYP,NYP,NY4,NY4,New York Metropolitans
1883,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1883,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Quakers
1883,NL,PRO,PRO,PRO,PRO,PRO,Providence Grays
1883,AA,PT1,PIT,PIT,PT1,PT1,Pittsburg Alleghenys
1883,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1884,UA,ALT,ALT,ALT,ALT,ALT,Altoona Mountain City
1884,NL,BFN,BUF,BUF,BFN,BFN,Buffalo Bisons
1884,AA,BL2,BLO,BAL,BL2,BL2,Baltimore Orioles
1884,UA,BLU,BLU,BLU,BLU,BLU,Baltimore Monumentals
1884,AA,BR3,LAD,BRO,BR3,BR3,Brooklyn Atlantics
1884,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
